,startdate,pollster,samplesize,population,approve,disapprove
102,2/19/2021,Morning Consult,15000.0,a,54.0,35.0
103,2/18/2021,Morning Consult,2200.0,a,57.0,33.0
104,2/19/2021,YouGov,1500.0,a,51.0,36.0
105,2/18/2021,GQR Research,1000.0,rv,51.666667,38.0
106,2/19/2021,Morning Consult,2013.0,rv,58.0,36.0
107,2/20/2021,Morning Consult,15000.0,a,54.0,35.0
108,2/20/2021,YouGov,1556.0,a,50.0,38.0
109,2/21/2021,Morning Consult,15000.0,a,54.0,35.0
110,2/21/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,49.0,49.0
111,2/22/2021,Marist College,1275.0,a,51.0,38.0
112,2/22/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,48.0
113,2/22/2021,Morning Consult,15000.0,a,54.0,35.0
114,2/23/2021,Harris Poll,1778.0,rv,61.0,39.0
115,2/23/2021,HarrisX,949.0,rv,59.0,41.0
116,2/23/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,49.0,49.0
117,2/23/2021,Morning Consult,15000.0,a,54.0,35.0
118,2/24/2021,HarrisX,1909.0,rv,58.0,42.0
119,2/24/2021,Ipsos,1004.0,a,57.0,37.0
120,2/24/2021,Morning Consult,15000.0,a,54.0,35.0
121,2/24/2021,IBD/TIPP,1280.0,a,53.0,30.0
122,2/24/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,49.0,48.0
123,2/24/2021,McLaughlin & Associates,1000.0,lv,55.0,40.0
124,2/25/2021,RMG Research,1200.0,rv,54.0,40.0
125,2/25/2021,Morning Consult,15000.0,a,54.0,35.0
126,2/26/2021,Public Policy Polling,1390.0,rv,47.0,43.0
127,2/26/2021,Morning Consult,15000.0,a,54.0,35.0
128,2/25/2021,Monmouth University,802.0,a,51.0,42.0
129,2/25/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,48.0
130,2/25/2021,Global Strategy Group/GBAO (Navigator Research),1007.0,rv,53.0,41.0
131,2/26/2021,Léger,1002.0,a,48.0,38.0
132,2/25/2021,AP-NORC,1434.0,a,60.0,40.0
133,2/25/2021,Morning Consult,45000.0,a,54.0,36.0
134,2/27/2021,Morning Consult,15000.0,a,54.0,35.0
135,2/26/2021,Morning Consult,1992.0,rv,57.0,37.0
136,2/26/2021,Morning Consult,2200.0,a,56.0,37.0
137,2/27/2021,YouGov,1500.0,a,50.0,39.0
138,2/26/2021,Morning Consult,45000.0,a,54.0,36.0
139,2/28/2021,Morning Consult,15000.0,a,54.0,36.0
140,2/28/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,47.0
141,3/1/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,49.0,48.0
142,2/27/2021,Morning Consult,45000.0,a,54.0,36.0
143,2/26/2021,Climate Nexus,1624.0,rv,53.0,39.0
144,3/2/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,49.0,49.0
145,2/28/2021,Morning Consult,45000.0,a,54.0,36.0
146,3/1/2021,Pew Research Center,6011.0,a,54.0,42.0
147,3/1/2021,Morning Consult,45000.0,a,55.0,36.0
148,3/3/2021,Ipsos,1005.0,a,58.0,35.0
149,3/4/2021,RMG Research,1200.0,rv,53.0,39.0
150,3/3/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,49.0,49.0
151,3/2/2021,Morning Consult,45000.0,a,55.0,36.0
152,3/3/2021,Morning Consult,45000.0,a,55.0,36.0
153,3/4/2021,Morning Consult,2201.0,a,58.0,34.0
154,3/3/2021,Marist College,1227.0,a,49.0,42.0
155,3/4/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,48.0
156,3/3/2021,CNN/SSRS,1009.0,a,51.0,41.0
157,3/4/2021,The Bullfinch Group,1200.0,a,56.0,36.0
158,3/6/2021,Morning Consult,1990.0,rv,59.0,37.0
159,3/5/2021,HarrisX,2839.0,rv,58.0,42.0
160,3/4/2021,Morning Consult,45000.0,a,55.0,36.0
161,3/7/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,48.0
162,3/5/2021,Morning Consult,45000.0,a,55.0,36.0
163,3/1/2021,Gallup,1010.0,a,54.0,42.0
164,3/6/2021,YouGov,1500.0,a,50.0,40.0
165,3/8/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,47.0
166,3/6/2021,Morning Consult,45000.0,a,55.0,36.0
167,3/7/2021,Morning Consult,45000.0,a,56.0,35.0
168,3/9/2021,YouGov,1306.0,a,60.0,40.0
169,3/9/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,51.0,47.0
170,3/10/2021,Ipsos,1001.0,a,54.0,39.0
171,3/8/2021,Morning Consult,45000.0,a,56.0,35.0
172,3/10/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,52.0,46.0
173,3/9/2021,Morning Consult,45000.0,a,55.0,36.0
174,3/11/2021,RMG Research,1200.0,rv,57.0,37.0
175,3/10/2021,YouGov,2382.0,a,62.0,38.0
176,3/10/2021,Morning Consult,45000.0,a,56.0,35.0
177,3/11/2021,Global Strategy Group/GBAO (Navigator Research),1001.0,rv,56.0,40.0
178,3/12/2021,HarrisX,2839.0,rv,59.0,41.0
179,3/11/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,51.0,47.0
180,3/11/2021,Morning Consult,45000.0,a,56.0,35.0
181,3/12/2021,Civiqs,1673.0,rv,51.0,44.0
182,3/12/2021,Morning Consult,1993.0,rv,62.0,34.0
183,3/13/2021,YouGov,1500.0,a,53.0,37.0
184,3/14/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,52.0,46.0
185,3/12/2021,Morning Consult,45000.0,a,56.0,35.0
186,3/15/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,51.0,47.0
187,3/13/2021,Morning Consult,45000.0,a,56.0,35.0
188,3/15/2021,Morning Consult,2200.0,a,60.0,33.0
189,3/14/2021,Morning Consult,45000.0,a,56.0,35.0
190,3/16/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,52.0,48.0
191,3/15/2021,Echelon Insights,1008.0,rv,51.0,44.0
192,3/17/2021,Ipsos,1005.0,a,59.0,35.0
193,3/15/2021,Morning Consult,45000.0,a,55.0,36.0
194,3/18/2021,RMG Research,1200.0,rv,60.0,34.0
195,3/17/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,49.0,49.0
196,3/17/2021,American Research Group,1100.0,a,60.0,34.0
197,3/16/2021,Morning Consult,45000.0,a,56.0,36.0
198,3/17/2021,Climate Nexus,1310.0,rv,54.0,40.0
199,3/17/2021,Morning Consult,45000.0,a,55.0,36.0
200,3/17/2021,Morning Consult,2200.0,a,56.0,37.0
201,3/18/2021,Morning Consult,2200.0,a,58.5,35.0
202,3/18/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,48.0,50.0
203,3/19/2021,Morning Consult,1994.0,rv,57.0,40.0
204,3/18/2021,Morning Consult,45000.0,a,55.0,36.0
205,3/19/2021,HarrisX,2858.0,rv,60.0,40.0
206,3/18/2021,SurveyMonkey,16336.0,a,56.0,42.0
207,3/20/2021,YouGov,1500.0,a,50.0,41.0
208,3/21/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,48.0,50.0
209,3/19/2021,Morning Consult,45000.0,a,56.0,36.0
210,3/21/2021,Redfield & Wilton Strategies,1500.0,rv,53.0,35.0
211,3/22/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,47.0,51.0
212,3/20/2021,Morning Consult,45000.0,a,55.0,36.0
213,3/23/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,48.0,51.0
214,3/23/2021,YouGov,1606.0,a,53.0,36.0
215,3/22/2021,Marist College,1309.0,a,52.0,40.0
216,3/21/2021,Morning Consult,45000.0,a,55.0,36.0
217,3/24/2021,Harris Poll,1945.0,rv,61.0,39.0
218,3/24/2021,Ipsos,1005.0,a,53.0,41.0
219,3/22/2021,Morning Consult,45000.0,a,54.0,36.0
220,3/24/2021,HarrisX,1882.0,rv,61.0,39.0
221,3/23/2021,Morning Consult,2140.0,a,57.0,36.5
222,3/24/2021,Morning Consult,2200.0,a,57.0,36.0
223,3/23/2021,Morning Consult,45000.0,a,54.0,36.0
224,3/25/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,49.0,50.0
225,3/25/2021,Global Strategy Group/GBAO (Navigator Research),1002.0,rv,55.0,41.0
226,3/25/2021,Morning Consult,2041.0,a,55.0,38.0
227,3/24/2021,GBAO,2000.0,rv,54.0,43.0
228,3/25/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,48.0,50.0
229,3/24/2021,Morning Consult,45000.0,a,54.0,36.0
230,3/26/2021,AP-NORC,1166.0,a,61.0,38.0
231,3/25/2021,Morning Consult,45000.0,a,54.0,36.0
232,3/26/2021,Morning Consult,2043.0,rv,58.0,39.0
233,3/28/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,49.0,49.0
234,3/26/2021,Morning Consult,45000.0,a,54.0,36.0
235,3/27/2021,YouGov,1500.0,a,48.0,40.0
236,3/27/2021,Morning Consult,45000.0,a,54.0,36.0
237,3/29/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,48.0,50.0
238,3/28/2021,Morning Consult,45000.0,a,54.0,36.0
239,3/30/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,48.0,50.0
240,3/29/2021,Morning Consult,45000.0,a,55.0,36.0
241,3/30/2021,Morning Consult,2200.0,a,57.0,36.0
242,3/31/2021,Ipsos,1005.0,a,54.0,41.0
243,3/30/2021,Morning Consult,45000.0,a,55.0,36.0
244,3/31/2021,IBD/TIPP,1436.0,a,53.0,33.0
245,3/31/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,47.0,51.0
246,4/2/2021,Morning Consult,2200.0,a,54.0,39.0
247,3/31/2021,Morning Consult,45000.0,a,55.0,36.0
248,4/2/2021,Morning Consult,2200.0,a,57.0,37.0
249,4/1/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,47.0,51.0
250,4/1/2021,Morning Consult,45000.0,a,55.0,36.0
251,4/2/2021,HarrisX,2732.0,rv,61.0,39.0
252,4/2/2021,Morning Consult,45000.0,a,55.0,36.0
253,4/4/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,49.0,50.0
254,4/3/2021,YouGov,1500.0,a,49.0,41.0
255,4/5/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,51.0,48.0
256,4/3/2021,Morning Consult,45000.0,a,55.0,36.0
257,4/4/2021,Morning Consult,45000.0,a,55.0,36.0
258,4/6/2021,YouGov,1649.0,a,52.0,38.0
259,4/6/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,48.0
260,4/5/2021,Morning Consult,45000.0,a,54.0,37.0
261,4/7/2021,Ipsos,1005.0,a,56.0,37.0
262,4/5/2021,Pew Research Center,5109.0,a,59.0,39.0
263,4/7/2021,The Winston Group,1000.0,rv,54.0,35.0
264,4/6/2021,Morning Consult,45000.0,a,55.0,36.0
265,4/7/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,48.0
266,4/7/2021,Morning Consult,45000.0,a,55.0,36.0
267,4/8/2021,Global Strategy Group/GBAO (Navigator Research),1256.0,rv,55.0,42.0
268,4/7/2021,Marist College,1266.0,a,53.0,39.0
269,4/8/2021,Monmouth University,800.0,a,54.0,41.0
270,4/8/2021,CNBC/Hart Research/Public Opinion Strategies,802.0,a,47.0,41.0
271,4/8/2021,Quinnipiac University,1237.0,a,48.0,42.0
272,4/8/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,48.0
273,4/9/2021,Civiqs,1541.0,rv,48.0,47.0
274,4/1/2021,Gallup,961.0,a,57.0,40.0
275,4/9/2021,HarrisX,3766.0,rv,61.0,39.0
276,4/8/2021,McLaughlin & Associates,1000.0,lv,57.5,40.5
277,4/8/2021,Morning Consult,45000.0,a,54.0,37.0
278,4/9/2021,Morning Consult,1992.0,rv,59.0,37.0
279,4/11/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,48.0
280,4/9/2021,Morning Consult,45000.0,a,54.0,37.0
281,4/10/2021,YouGov,1500.0,a,49.0,42.0
282,4/10/2021,Morning Consult,45000.0,a,55.0,37.0
283,4/12/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,48.0
284,4/11/2021,Morning Consult,45000.0,a,54.0,37.0
285,4/12/2021,Ipsos,4423.0,a,55.0,40.0
286,4/13/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,49.0,49.0
287,4/12/2021,Ipsos,4423.0,a,55.0,40.0
288,4/12/2021,Morning Consult,45000.0,a,54.0,37.0
289,4/14/2021,Ipsos,1005.0,a,54.0,38.0
290,4/14/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,48.0
291,4/14/2021,Hart Research Associates,1200.0,rv,57.0,43.0
292,4/13/2021,Morning Consult,45000.0,a,54.0,38.0
293,4/14/2021,Morning Consult,45000.0,a,53.0,38.0
294,4/15/2021,Morning Consult,2200.0,a,58.0,35.0
295,4/15/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,49.0
296,4/16/2021,Morning Consult,2200.0,a,57.0,36.0
297,4/15/2021,Morning Consult,45000.0,a,54.0,37.0
298,4/16/2021,HarrisX,2881.0,rv,61.0,39.0
299,4/15/2021,Change Research,1025.0,rv,51.0,49.0
300,4/17/2021,NBC News,1000.0,a,53.0,39.0
301,4/17/2021,American Research Group,1100.0,a,59.0,35.0
302,4/16/2021,Morning Consult,45000.0,a,54.0,37.0
303,4/17/2021,YouGov,1500.0,a,49.0,38.0
304,4/18/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,48.0
305,4/19/2021,Marist College,1809.0,a,54.0,44.0
306,4/18/2021,ABC News/The Washington Post,1007.0,a,52.21,42.09
307,4/18/2021,Fox News,1002.0,rv,54.0,43.0
308,4/17/2021,Morning Consult,45000.0,a,54.0,37.0
309,4/19/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,49.0
310,4/16/2021,Echelon Insights,1043.0,rv,54.0,43.0
311,4/20/2021,Morning Consult,2200.0,a,58.0,35.0
312,4/18/2021,Morning Consult,45000.0,a,54.0,37.0
313,4/20/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,52.0,46.0
314,4/21/2021,YouGov,1000.0,a,51.0,44.0
315,4/21/2021,Ipsos,1004.0,a,54.0,39.0
316,4/19/2021,Morning Consult,45000.0,a,54.0,36.0
317,4/21/2021,YouGov,2527.0,a,58.0,42.0
318,4/19/2021,Morning Consult,22000.0,a,57.0,36.0
319,4/20/2021,Morning Consult,45000.0,a,55.0,36.0
320,4/21/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,51.0,47.0
321,4/21/2021,Morning Consult,1986.0,rv,57.0,37.0
322,4/23/2021,Research Co.,1000.0,a,53.0,42.0
323,4/22/2021,Global Strategy Group/GBAO (Navigator Research),989.0,rv,53.0,44.0
324,4/23/2021,Léger,1003.0,a,51.0,39.0
325,4/21/2021,Morning Consult,45000.0,a,55.0,36.0
326,4/21/2021,CNN/SSRS,1004.0,a,53.0,43.0
327,4/22/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,48.0
328,4/22/2021,Morning Consult,45000.0,a,55.0,36.0
329,4/24/2021,Morning Consult,1991.0,rv,60.0,37.0
330,4/24/2021,Morning Consult,14872.0,rv,57.0,39.0
331,4/25/2021,YouGov,1500.0,a,51.0,39.0
332,4/23/2021,Morning Consult,45000.0,a,55.0,36.0
333,4/25/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,48.0,50.0
334,4/24/2021,Morning Consult,45000.0,a,55.0,36.0
335,4/26/2021,HarrisX,2819.0,rv,60.0,40.0
336,4/26/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,48.0,50.0
337,4/25/2021,Morning Consult,45000.0,a,56.0,36.0
338,4/27/2021,Harris Poll,932.0,rv,59.5,39.0
339,4/27/2021,YouGov,1558.0,a,54.0,37.0
340,4/27/2021,Ipsos,1005.0,a,55.0,38.0
341,4/27/2021,Morning Consult,2200.0,a,60.0,33.0
342,4/27/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,47.0,51.0
343,4/28/2021,IBD/TIPP,1300.0,a,51.0,32.0
344,4/26/2021,Morning Consult,45000.0,a,56.0,36.0
345,4/28/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,48.0,49.0
346,4/27/2021,Morning Consult,45000.0,a,56.0,36.0
347,4/29/2021,Morning Consult,2200.0,a,55.0,38.0
348,4/28/2021,Morning Consult,45000.0,a,56.0,36.0
349,4/29/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,49.0,49.0
350,4/30/2021,Morning Consult,2200.0,a,53.0,39.0
351,4/29/2021,AP-NORC,1842.0,a,63.0,36.0
352,4/30/2021,Morning Consult,2200.0,a,55.0,37.0
353,5/1/2021,Morning Consult,2200.0,a,57.0,36.0
354,4/29/2021,Morning Consult,45000.0,a,56.0,36.0
355,4/30/2021,Morning Consult,45000.0,a,56.0,36.0
356,4/30/2021,Trafalgar Group,1574.0,lv,48.3,47.5
357,5/2/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,47.0
358,5/1/2021,YouGov,1500.0,a,48.0,42.0
359,5/1/2021,Morning Consult,45000.0,a,56.0,36.0
360,5/3/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,51.0,47.0
361,5/3/2021,HarrisX,939.0,rv,60.0,40.0
362,5/2/2021,Morning Consult,45000.0,a,55.0,36.0
363,5/4/2021,Morning Consult,2200.0,a,56.0,38.0
364,5/4/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,51.0,47.0
365,5/4/2021,Ipsos,1005.0,a,55.0,38.0
366,5/3/2021,Morning Consult,45000.0,a,55.0,36.0
367,5/4/2021,Marist College,1249.0,a,53.0,41.0
368,5/5/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,48.0
369,5/4/2021,Morning Consult,45000.0,a,55.0,37.0
370,5/5/2021,Morning Consult,45000.0,a,55.0,37.0
371,5/7/2021,Léger,1003.0,a,52.0,38.0
372,5/6/2021,Morning Consult,2200.0,a,55.0,39.0
373,5/7/2021,Morning Consult,2200.0,a,55.0,39.0
374,5/6/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,48.0
375,5/6/2021,Global Strategy Group/GBAO (Navigator Research),1000.0,rv,55.0,41.0
376,5/8/2021,Redfield & Wilton Strategies,1500.0,rv,52.0,36.0
377,5/6/2021,Morning Consult,45000.0,a,55.0,37.0
378,5/8/2021,YouGov,1500.0,a,51.0,39.0
379,5/7/2021,Morning Consult,45000.0,a,54.0,37.0
380,5/8/2021,Civiqs,1464.0,rv,48.0,46.0
381,5/9/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,48.0,50.0
382,5/3/2021,Gallup,1016.0,a,54.0,40.0
383,5/10/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,48.0
384,5/8/2021,Morning Consult,45000.0,a,54.0,37.0
385,5/11/2021,Ipsos,1005.0,a,56.0,38.0
386,5/9/2021,Morning Consult,45000.0,a,54.0,37.0
387,5/11/2021,YouGov,1561.0,a,49.0,40.0
388,5/11/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,49.0,50.0
389,5/10/2021,Morning Consult,45000.0,a,54.0,37.0
390,5/11/2021,Morning Consult,45000.0,a,54.0,37.0
391,5/12/2021,Morning Consult,2200.0,a,56.0,38.5
392,5/12/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,51.0,48.0
393,5/12/2021,Morning Consult,45000.0,a,54.0,38.0
394,5/13/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,50.0,48.0
395,5/14/2021,Morning Consult,2200.0,a,56.0,36.0
396,5/12/2021,McLaughlin & Associates,1000.0,lv,56.0,43.0
397,5/14/2021,Morning Consult,2200.0,a,56.0,38.0
398,5/14/2021,Morning Consult,1992.0,rv,54.0,42.0
399,5/14/2021,Echelon Insights,1132.0,rv,56.0,42.0
400,5/13/2021,Morning Consult,45000.0,a,54.0,38.0
401,5/14/2021,Morning Consult,45000.0,a,54.0,38.0
402,5/16/2021,Rasmussen Reports/Pulse Opinion Research,1500.0,lv,51.0,48.0
403,5/15/2021,YouGov,1500.0,a,51.0,41.0
404,5/15/2021,Morning Consult,45000.0,a,54.0,38.0
