username,tweet_id,tweet_url,tweet_date,tweet_content,tweet_retweet_count,tweet_quote_count,tweet_reply_count,tweet_like_count
POTUS,1473682028856057873,https://twitter.com/POTUS/status/1473682028856057873,2021-12-22 15:49:10+00:00,Americans who haven’t yet renewed their coverage or shopped for a plan can still visit https://t.co/gRX1fGFEzj through January 15th to sign up.,831,25,252,3872
POTUS,1473682026989506572,https://twitter.com/POTUS/status/1473682026989506572,2021-12-22 15:49:09+00:00,"As 2021 draws to a close, I am proud to say that more than 4.6 million Americans have gained health coverage through the Affordable Care Act since I took office. From November 1st to December 15th alone, more than 13.6 million Americans signed up — an all-time high.",2634,158,952,16247
POTUS,1473669701729411072,https://twitter.com/POTUS/status/1473669701729411072,2021-12-22 15:00:11+00:00,"While we know staffing is the biggest need of our hospitals, some may need more beds as well.  
 
We’re prepared.  
 
I directed FEMA to activate the National Response Center and to begin deploying teams now to build more hospital beds.",1789,246,1312,11208
JoeBiden,1473667190310199302,https://twitter.com/JoeBiden/status/1473667190310199302,2021-12-22 14:50:12+00:00,"If you haven’t yet, please get vaccinated. It’s the best way to keep yourself and your loved ones safe from the Omicron variant. Now is the time. https://t.co/nLva52NSGI",1515,153,1475,9369
POTUS,1473662717202472962,https://twitter.com/POTUS/status/1473662717202472962,2021-12-22 14:32:25+00:00,"My Administration has stockpiled millions of gowns, gloves, masks, and ventilators.
 
We are ready to send them immediately to any state that needs more.
 
I have also directed the Pentagon to mobilize an additional 1,000 troops to help staff local hospitals and expand capacity.",4020,508,2410,25478
JoeBiden,1473472357440315394,https://twitter.com/JoeBiden/status/1473472357440315394,2021-12-22 01:56:00+00:00,Booster shots provide the strongest protection against the Omicron variant. That’s why I got my booster—and encourage everyone who’s eligible to do so as well. https://t.co/7sEoXNjr9D,1239,149,1352,8566
JoeBiden,1473454994099687433,https://twitter.com/JoeBiden/status/1473454994099687433,2021-12-22 00:47:00+00:00,"To the Americans who are wondering whether you can safely celebrate the holidays this weekend: the answer is yes, you can. 

If you and your families are vaccinated and follow the precautions, you should feel comfortable celebrating the Christmas holiday as you have planned.",2602,543,3190,22235
POTUS,1473447030546747394,https://twitter.com/POTUS/status/1473447030546747394,2021-12-22 00:15:22+00:00,We’re purchasing 500 million at-home rapid COVID tests that will be distributed for free to Americans who want them. https://t.co/m9rgb9kjmP,2867,619,3277,18190
POTUS,1473421587953168384,https://twitter.com/POTUS/status/1473421587953168384,2021-12-21 22:34:16+00:00,"To those people who have not been vaccinated: you have an obligation to yourself, your family, and your country.
 
Get vaccinated now. It’s free. It’s convenient. It saves lives. And it’s your patriotic duty.",13627,1182,6301,82322
POTUS,1473402686955479041,https://twitter.com/POTUS/status/1473402686955479041,2021-12-21 21:19:09+00:00,"Starting this week, the federal government will set up emergency testing sites in areas that need additional testing capacity.  
 
Before Christmas, the first several of these federal testing sites will be up and running in New York City — with many more to come.",1429,115,1163,9006
POTUS,1473390215364587520,https://twitter.com/POTUS/status/1473390215364587520,2021-12-21 20:29:36+00:00,"This is not March 2020.
 
200 million people are fully vaccinated. We’re prepared. We know more.
 
We just have to stay focused.",5027,925,3016,44628
POTUS,1473382140976979983,https://twitter.com/POTUS/status/1473382140976979983,2021-12-21 19:57:31+00:00,"Today, I am ordering the federal government to purchase half a billion additional at-home rapid tests with delivery starting in January.

We will be getting these tests to Americans for free — and we will have a website where you can get them delivered to your home.",4955,1125,4085,38275
POTUS,1473380657996959747,https://twitter.com/POTUS/status/1473380657996959747,2021-12-21 19:51:37+00:00,"Starting this week, I will be deploying hundreds more vaccinators and more sites to help get more booster shots in arms.  
 
I’ve ordered FEMA to stand up new pop-up vaccination clinics across the country where you can get a booster shot.",3277,270,1552,20923
POTUS,1473378433312907264,https://twitter.com/POTUS/status/1473378433312907264,2021-12-21 19:42:47+00:00,Tune in as I deliver remarks on the status of the country’s fight against COVID-19. https://t.co/4pYALjb3LE,848,122,1191,3540
POTUS,1473333694198960130,https://twitter.com/POTUS/status/1473333694198960130,2021-12-21 16:45:00+00:00,"My Bipartisan Infrastructure Law is a blue-collar blueprint to rebuild America.
 
We’re going to finally build the economy from the bottom up and middle out — not the top down.",2219,148,1692,13527
POTUS,1473295943348985862,https://twitter.com/POTUS/status/1473295943348985862,2021-12-21 14:15:00+00:00,"We’re not only rebuilding America’s infrastructure — we’re creating millions of good-paying, union jobs in the process. https://t.co/NWBuQfDwAi",1162,83,1108,5813
POTUS,1473107468410667010,https://twitter.com/POTUS/status/1473107468410667010,2021-12-21 01:46:04+00:00,"We are working around the clock to increase testing capacity, vaccine availability, and support for our hospitals. I'll have more to say on this tomorrow.
 
In the meantime: Get vaccinated, get boosted, wear a mask. And keep the faith.
 
We’ll get through this together.",2525,248,1751,20841
POTUS,1473107463926951938,https://twitter.com/POTUS/status/1473107463926951938,2021-12-21 01:46:03+00:00,"2. Omicron cases will increase in the coming days—even among fully vaccinated individuals. If you’re vaccinated and boosted, you may still get a breakthrough case but doctors say you will likely have no symptoms or mild ones.",1643,169,452,12185
POTUS,1473107465629745155,https://twitter.com/POTUS/status/1473107465629745155,2021-12-21 01:46:03+00:00,"3. We still need to take precautions and remain vigilant. Listen to the advice from doctors: even if you’re fully vaccinated, you should wear a mask when indoors in a public setting. It will help protect you and others—especially kids under 5 who can’t get vaccinated yet.",1700,107,358,12589
POTUS,1473107467001339907,https://twitter.com/POTUS/status/1473107467001339907,2021-12-21 01:46:03+00:00,"4. To our frontline workers, I am in awe of your sacrifices. Thank you for the work you are putting in on this wave after a painful and difficult two years. We owe you a tremendous debt. I am once again asking for your strength, and I’ll never forget it.",2531,1474,1693,20286
POTUS,1473107461548687360,https://twitter.com/POTUS/status/1473107461548687360,2021-12-21 01:46:02+00:00,"1. We know that vaccines are working. If you are boosted with Pfizer or Moderna, you have a high degree of protection against severe illness with Omicron. If you’re an adult choosing to be unvaccinated, you will face an extremely difficult winter for your family and community.",2518,399,1120,16132
POTUS,1473107458801426433,https://twitter.com/POTUS/status/1473107458801426433,2021-12-21 01:46:01+00:00,"Folks, Omicron cases are on the rise in the United States. I want to give you all a sense of where we are and what we know.",7728,1154,5201,47504
POTUS,1473077001653215238,https://twitter.com/POTUS/status/1473077001653215238,2021-12-20 23:45:00+00:00,"Happy 2nd birthday, @SpaceForceDoD! https://t.co/9S0D3MT4dq",446,149,834,3345
POTUS,1473057147017744390,https://twitter.com/POTUS/status/1473057147017744390,2021-12-20 22:26:06+00:00,Meet the newest Biden. https://t.co/JHAbH53iRk,12669,5336,8511,126448
POTUS,1473048795697012738,https://twitter.com/POTUS/status/1473048795697012738,2021-12-20 21:52:55+00:00,"Welcome to the White House, Commander. https://t.co/SUudQnPv29",15096,6206,8594,198992
POTUS,1473035874006929410,https://twitter.com/POTUS/status/1473035874006929410,2021-12-20 21:01:34+00:00,My Bipartisan Infrastructure Law will make high-speed internet affordable and available everywhere in America — and create jobs laying down broadband lines.,2484,189,1662,16253
POTUS,1473006602487844864,https://twitter.com/POTUS/status/1473006602487844864,2021-12-20 19:05:15+00:00,"Last week, I awarded the Medal of Honor to three outstanding soldiers. Their actions embody the highest ideals of selfless service. https://t.co/O6AcxfCVa0",1048,54,620,7106
POTUS,1472983210665590785,https://twitter.com/POTUS/status/1472983210665590785,2021-12-20 17:32:18+00:00,"Right now, there’s a kid out there whose family can’t afford her insulin because it costs $1,000 per month. The Build Back Better Act would cap their monthly insulin costs at $35. I’m committed as ever to getting it done for them.",17496,2379,10793,102713
POTUS,1472015716782157829,https://twitter.com/POTUS/status/1472015716782157829,2021-12-18 01:27:50+00:00,"No class gets to choose the world into which they graduate. But few classes enter at a point in history where they actually have a chance to change the trajectory of the country.

We face an inflection point today. And I’m confident the class of 2021 will meet the moment. https://t.co/sDFvvT3CKi",1549,259,3172,9425
POTUS,1471988764629213187,https://twitter.com/POTUS/status/1471988764629213187,2021-12-17 23:40:44+00:00,"Since I took office, nearly 6 million jobs have been created, over 200 million Americans are fully vaccinated, and unemployment claims are the lowest on average since 1969.
 
These things didn’t happen by accident — they’re because of the American Rescue Plan.",6948,732,6052,41338
JoeBiden,1471966938821767171,https://twitter.com/JoeBiden/status/1471966938821767171,2021-12-17 22:14:00+00:00,"There aren't a lot of things that almost every American can agree on. But I think it's safe to say that all of us can agree that prescription drugs are outrageously expensive in our country. 

Under my Build Back Better bill, which has passed the House, they won’t be.",3191,290,3517,22448
POTUS,1471914464333250574,https://twitter.com/POTUS/status/1471914464333250574,2021-12-17 18:45:29+00:00,"Every kid in America should be able to turn on the faucet and drink clean water.
 
My Bipartisan Infrastructure Law is going to make that a reality.",3336,316,2390,23190
POTUS,1471902772803121153,https://twitter.com/POTUS/status/1471902772803121153,2021-12-17 17:59:02+00:00,"In my first year in office, we’ve passed two of the most important pieces of economic legislation in decades.
 
The third is in its final stages — and I’m confident we’ll get it passed.",4398,475,4369,31330
POTUS,1471864438626078723,https://twitter.com/POTUS/status/1471864438626078723,2021-12-17 15:26:42+00:00,Tune in as I deliver remarks at South Carolina State University’s 2021 Fall Commencement Ceremony. https://t.co/FCfTwsZumy,798,76,922,4402
JoeBiden,1471848921374859269,https://twitter.com/JoeBiden/status/1471848921374859269,2021-12-17 14:25:03+00:00,"Six months out from your second Pfizer or Moderna vaccine shot or two months out from your Johnson &amp; Johnson shot? 

Get your booster.",3403,419,3506,28015
POTUS,1471663602012667911,https://twitter.com/POTUS/status/1471663602012667911,2021-12-17 02:08:39+00:00,We will heal. We will recover. And we will rebuild — together. https://t.co/Q1WLRzvacK,3051,323,1778,17682
POTUS,1471634353348358153,https://twitter.com/POTUS/status/1471634353348358153,2021-12-17 00:12:26+00:00,"It was my great honor to award the Medal of Honor to Sergeant First Class Alwyn Cashe, Sergeant First Class Christopher Celiz, and Master Sergeant Earl Plumlee. We must never forget their unparalleled courage or the sacrifices they made in service of our nation. https://t.co/U9OLYvLd3i",1299,68,623,9278
JoeBiden,1471632488166477831,https://twitter.com/JoeBiden/status/1471632488166477831,2021-12-17 00:05:01+00:00,"The shock of losing a home or business, the grief of losing a loved one during the holidays, is traumatizing. 

We are going to ensure that folks in Kentucky and all those affected by the tornadoes have all the mental health resources they need to get through this difficult time.",1717,119,1057,12004
POTUS,1471628129462538247,https://twitter.com/POTUS/status/1471628129462538247,2021-12-16 23:47:42+00:00,"We will – we must – get Build Back Better passed, even in the face of Republican opposition.",6022,757,5544,44937
POTUS,1471625807177076742,https://twitter.com/POTUS/status/1471625807177076742,2021-12-16 23:38:28+00:00,I had a productive call with the Speaker and the Majority Leader today. My team and I are having ongoing discussions with Senator Manchin; that work will continue next week. Leader Schumer and I are determined to see the bill successfully on the floor as early as possible.,2653,259,1999,18752
POTUS,1471612057535623168,https://twitter.com/POTUS/status/1471612057535623168,2021-12-16 22:43:50+00:00,"One of the reasons I believe so firmly in my Build Back Better Act is because I know what this country can be.
 
We have always been a nation of possibilities. We didn’t become this nation we know by dreaming small.
 
Let’s get this passed.",2296,213,1861,13839
JoeBiden,1471597260035272707,https://twitter.com/JoeBiden/status/1471597260035272707,2021-12-16 21:45:02+00:00,"The Build Back Better Act will lower the core costs that have held Americans back for decades: on everything from health care and child care to prescription drugs and housing. 

No Republican in Congress supports it.",2924,302,2285,14656
JoeBiden,1471580901180063746,https://twitter.com/JoeBiden/status/1471580901180063746,2021-12-16 20:40:02+00:00,"To the people of Kentucky who have been devastatingly impacted by these tornadoes, know this—I intend to do whatever it takes, for as long as it takes, to help support your state and your local leaders recover and rebuild.
https://t.co/YKcUPa74vt",1155,115,691,7633
POTUS,1471557772126965762,https://twitter.com/POTUS/status/1471557772126965762,2021-12-16 19:08:07+00:00,Join me as I award the Medal of Honor to three American soldiers and deliver remarks. https://t.co/2JzvzqSvOv,1181,78,769,6456
POTUS,1471544445610995714,https://twitter.com/POTUS/status/1471544445610995714,2021-12-16 18:15:10+00:00,"Today, I signed a bill raising our debt ceiling. Members of both parties came together to ensure that the federal government doesn’t default on past debts. Defaulting would be a catastrophe for our economy, and it’s a responsibility of governing to make sure we pay what we owe. https://t.co/vMQ1ZXSHpZ",1663,301,2103,11516
POTUS,1471540736822763522,https://twitter.com/POTUS/status/1471540736822763522,2021-12-16 18:00:26+00:00,"The best protection against Omicron is getting fully vaccinated. If you haven’t gotten the shot yet, now is the time. If you’re over 16 and got vaccinated at least 6 months ago, go get your booster. Head to https://t.co/jlrmakxHWm to find a clinic near you.",786,61,1049,3896
JoeBiden,1471529060295663626,https://twitter.com/JoeBiden/status/1471529060295663626,2021-12-16 17:14:02+00:00,"The American people deserve more than just a little breathing room—they deserve a real fighting chance to get ahead. The Build Back Better Act will prioritize families like yours and rebuild the backbone of America.
https://t.co/YXwRRtrmJ2",1076,107,1146,5686
POTUS,1471513626116722690,https://twitter.com/POTUS/status/1471513626116722690,2021-12-16 16:12:42+00:00,"This afternoon, I will award the Medal of Honor, our nation’s highest military honor to three American soldiers. I am honored to recognize the heroism of Sergeant First Class Alwyn C. Cashe, Sergeant First Class Christopher A. Celiz, and Master Sergeant Earl D. Plumlee.",2074,90,746,16118
POTUS,1471503000891846666,https://twitter.com/POTUS/status/1471503000891846666,2021-12-16 15:30:29+00:00,"The average number of Americans filing for unemployment over the last four weeks is now at its lowest level since 1969.
 
When I took office, over 18 million were receiving unemployment benefits, today only 2 million are.
 
America is on the move again.",4647,716,3597,26621
POTUS,1471306379134648325,https://twitter.com/POTUS/status/1471306379134648325,2021-12-16 02:29:10+00:00,"My message to the people affected by this weekend’s storms is this: I intend to do whatever it takes, for as long as it takes, to support your state as you recover and rebuild.",5291,466,2791,43263
JoeBiden,1471291235377762305,https://twitter.com/JoeBiden/status/1471291235377762305,2021-12-16 01:29:00+00:00,"If you are vaccinated but still worried about the new variant, get your booster. 
If you aren't vaccinated, go get that first shot. 
We’ll fight the Omicron variant, together.",4062,434,3303,36324
POTUS,1471286918222651397,https://twitter.com/POTUS/status/1471286918222651397,2021-12-16 01:11:51+00:00,"As I said today in Kentucky: We are all in this together, no red states or blue states, just Americans helping each other get through tough times.

We’ll heal. We’ll recover. We’ll rebuild — stronger than before. And we’ll do it together.

Keep the faith, and stay strong. https://t.co/H4Yrsqagap",2514,251,988,15651
POTUS,1471276014336675845,https://twitter.com/POTUS/status/1471276014336675845,2021-12-16 00:28:31+00:00,"Yesterday, I approved an emergency declaration for Illinois and Tennessee, in addition to Kentucky, making Federal assistance immediately available to support the response in those states.",2177,129,869,18161
